4,共著,https://www.amazon.co.jp/dp/4774192139,Mackerel サーバ監視[実践]入門
3,受賞,https://blog.a-know.me/entry/2018/12/02/151113,Mashup Awards 2018（API部門賞）
2,登壇,https://blog.a-know.me/entry/2018/02/16/231834,Developers Summit 2018
1,出展,https://blog.a-know.me/entry/2019/08/31/191108,builderscon 2019 見本市
